group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
safe033,v016+v017+v031+v032+v033,0.21,0.13938504457473755,0.11430374532938004,0.10928698629140854,0.15058359503746033,0.11430374532938004,0.12846580110490324,0.9955271753648197,0.9349595647304598,0.02051575295627117
safe033,v016+v017+v031+v032+v033,0.2,0.13927526772022247,0.11415470391511917,0.10921061784029007,0.1505044400691986,0.11415470391511917,0.12835231833159924,0.9959576381206482,0.9338273106465607,0.019516633823513985
safe033,v016+v017+v031+v032+v033,0.18,0.13904184103012085,0.1138535737991333,0.10905544459819794,0.1503434032201767,0.1138535737991333,0.12811755761504173,0.9967492771955201,0.9315171326999255,0.01752522960305214
safe033,v016+v017+v031+v032+v033,0.15,0.1386571079492569,0.11339448392391205,0.10881645977497101,0.15009529888629913,0.11339448392391205,0.1277460426092148,0.9977669416036696,0.9279407195714623,0.01455506682395935
safe033,v016+v017+v031+v032+v033,0.12,0.13823115825653076,0.11292652040719986,0.10857001692056656,0.1498391181230545,0.11292652040719986,0.12735139168798926,0.9985862555966207,0.9242360332490173,0.011605153791606426
safe033,v016+v017+v031+v032+v033,0.1,0.1379246711730957,0.1126096099615097,0.10840146243572235,0.14966385066509247,0.1126096099615097,0.1270755894482136,0.999025263052079,0.9216977649151918,0.009649782441556454
safe033,v016+v017+v031+v032+v033,0.08,0.13760018348693848,0.11228883266448975,0.10822950303554535,0.1494850069284439,0.11228883266448975,0.12678965851664542,0.9993806121242178,0.9191061986385681,0.007703062146902084
with_v033,v021+v023+v033,0.08,0.13538576662540436,0.11037496477365494,0.10715151578187943,0.1475933939218521,0.11037496477365494,0.12486815117299557,0.9997697069445504,0.9058813814098025,0.004688232205808163
v033,v033,0.08,0.1351896971464157,0.11030694842338562,0.10712771862745285,0.14724570512771606,0.11030694842338562,0.1247211765497923,0.9994233028803303,0.912604930309711,0.00730217294767499
with_v033,v021+v023+v033,0.1,0.13518503308296204,0.11022178828716278,0.1070558950304985,0.14729972183704376,0.11022178828716278,0.12468815781176092,0.9996391206227359,0.9052250008252715,0.005866668187081814
with_v033,v021+v023+v033,0.12,0.13497833907604218,0.11006663739681244,0.10695763677358627,0.14700283110141754,0.11006663739681244,0.12450417242944241,0.9994787976806271,0.9045408270914003,0.007047788240015507
v033,v033,0.1,0.134926900267601,0.11013402044773102,0.10702147334814072,0.14685899019241333,0.11013402044773102,0.1244964312762022,0.9990952299579786,0.9135470687811336,0.009136881679296494
v033,v033,0.12,0.1346529871225357,0.10995801538228989,0.10691075772047043,0.1464667022228241,0.10995801538228989,0.12426453270018102,0.9986918983914632,0.9144270314502052,0.010975010693073273
with_v033,v021+v023+v033,0.15,0.1346575915813446,0.10983026772737503,0.10680545121431351,0.14655154943466187,0.10983026772737503,0.1242209691554308,0.9991820970548052,0.903462128171534,0.008824083022773266
with_v033,v021+v023+v033,0.18,0.13432438671588898,0.10958962142467499,0.10664761811494827,0.1460934728384018,0.10958962142467499,0.12392935045063497,0.9988171711263086,0.9023200611411535,0.010606177151203156
v033,v033,0.15,0.13422225415706635,0.109688401222229,0.10673659294843674,0.1458682119846344,0.109688401222229,0.12390384487807751,0.9979438055401663,0.9156298431534039,0.013739331625401974
with_v033,v021+v023+v033,0.2,0.1340954601764679,0.10942688584327698,0.10653932392597198,0.14578448235988617,0.10942688584327698,0.12373036965727807,0.9985356177672902,0.9015235031701219,0.011797327548265457
with_v033,v021+v023+v033,0.21,0.13397909700870514,0.10934476554393768,0.10648426413536072,0.14562895894050598,0.10934476554393768,0.12362955883145332,0.99838328341657,0.9011146575544192,0.012393812648952007
v033,v033,0.18,0.13376812636852264,0.10941217839717865,0.10655293613672256,0.14525814354419708,0.10941217839717865,0.12352806515991688,0.9970218977902039,0.9166887343282437,0.016511069610714912
v033,v033,0.2,0.13345284759998322,0.10922448337078094,0.10642536729574203,0.14484535157680511,0.10922448337078094,0.12326946668326855,0.9963093959232089,0.9173138081361607,0.018363099545240402
v033,v033,0.21,0.13329154253005981,0.10912960022687912,0.10636006295681,0.14463716745376587,0.10912960022687912,0.12313780039548874,0.9959235598848937,0.9176017145030065,0.0192902609705925
